step;alive;mean_v;min_v;max_v;std_v;min_gap;max_gap;mean_gap;std_gap
0;20;1.000000;1.000000;1.000000;0.000000;5.000000;5.000000;5.000000;0.000000
1;20;1.025000;1.000000;1.500000;0.108972;5.000000;5.000000;5.000000;0.000000
2;20;1.026000;1.000000;1.500000;0.108784;4.950000;5.050000;5.000000;0.015811
3;20;1.026980;1.000000;1.500000;0.108676;4.901000;5.099000;5.000000;0.031308
4;20;1.027941;1.000000;1.500000;0.108639;4.852960;5.147040;5.000000;0.046507
5;20;1.028883;1.000000;1.500000;0.108664;4.805842;5.194158;5.000000;0.061425
6;20;1.029808;1.000000;1.500000;0.108744;4.759610;5.240390;5.000000;0.076076
7;20;1.030715;1.000000;1.500000;0.108872;4.714229;5.285771;5.000000;0.090475
8;20;1.031607;1.000000;1.500000;0.109041;4.669668;5.330332;5.000000;0.104633
9;20;1.032482;1.000000;1.500000;0.109248;4.625894;5.374106;5.000000;0.118564
10;20;1.033342;1.000000;1.500000;0.109485;4.582878;5.417122;5.000000;0.132279
11;20;1.034188;1.000000;1.500000;0.109750;4.540593;5.459407;5.000000;0.145788
12;20;1.035020;1.000000;1.500000;0.110039;4.499011;5.500989;5.000000;0.159101
13;20;1.035838;1.000000;1.500000;0.110348;4.458107;5.541893;5.000000;0.172227
14;20;1.036643;1.000000;1.500000;0.110673;4.417857;5.582143;5.000000;0.185175
15;20;1.037435;1.000000;1.500000;0.111013;4.378237;5.621763;5.000000;0.197954
16;20;1.038216;1.000000;1.500000;0.111365;4.339225;5.660775;5.000000;0.210570
17;20;1.038984;1.000000;1.500000;0.111727;4.300800;5.699200;5.000000;0.223031
18;20;1.039741;1.000000;1.500000;0.112098;4.262943;5.737057;5.000000;0.235343
19;20;1.040487;1.000000;1.500000;0.112474;4.225633;5.774367;5.000000;0.247513
20;20;1.041223;1.000000;1.500000;0.112856;4.188853;5.811147;5.000000;0.259548
21;20;1.041948;1.000000;1.500000;0.113242;4.152584;5.847416;5.000000;0.271451
